,,,,,,,
,S No.,Model,Field type,COLUMN,DESCRIPTION,Meanings,LONG DESCRIPTION
,122,Sustainable Finance,Measures,PE_Gross_Liabilities__Abs,PE Gross Liabilities," Period-End Total Liabilities, Closing Gross Liabilities, End-of-Period Obligations",-
,123,Sustainable Finance,Measures,ROLLING_12_INCOME,Rolling 12 month Income,-,-
,124,Sustainable Finance,Measures,ROLLING_13_AV_RWA,Rolling 13 month Average RWA,-,-
,125,Sustainable Finance,Measures,RoRWA,RoRWA,"Return on Risk-Weighted Assets- SF, Risk-Adjusted Return-SF, RORWA-SF",Ratio of Revenue over RWA
,126,Sustainable Finance,Measures,RWA,RWA,"Risk-Weighted Assets-SF , RWA-SF",-
,127,Sustainable Finance,Measures,Total_Revenue_MTD,Total Revenue MTD," Monthly Total Revenue, MTD Revenue, Month-to-Date Income",-
,128,Sustainable Finance,Measures,Total_Revenue_YTD,Total Revenue YTD," Year-to-Date Revenue, YTD Total Income, Annual Revenue",-
,129,Sustainable Finance,Dimension,BE_LOCATION,Booking Location,Booking Country,-
,130,Sustainable Finance,Dimension,CLIENT_DOMICILE_LOCATION,Client Domicile Location,-,-
,131,Sustainable Finance,Dimension,CLIENT_DOMICILE_REGION,Client Domicile Region,-,-
,132,Sustainable Finance,Dimension,CLIENT_GRP_DOMICILE_LOCATION,Client Group Domicile Location,-,-
,133,Sustainable Finance,Dimension,CLIENT_GRP_DOMICILE_REGION,Client Group Domicile Region,-,-
,134,Sustainable Finance,Dimension,CLIENT_GROUP_ID,Client Group ID,-,This attribute denotes the unique identifier assigned to a group customer in SCI based on Link Type CR
,135,Sustainable Finance,Dimension,CLIENT_GROUP_NAME,Client Group Name,-,This attribute denotes the legal name or internally assigned group name
,136,Sustainable Finance,Dimension,CLIENT_GRP_SEGMENT,Client Group Segment,-,This displays the business segment which manages the client across all levels from L1 to L5.
,137,Sustainable Finance,Dimension,Client_ID,Client ID,-,SCI LEID and sub profile id of the client
,138,Sustainable Finance,Dimension,CLIENT_ISIC_CODE,Client ISIC,-,-
,139,Sustainable Finance,Dimension,CLIENT_ISIC_DESCRIPTION,Client ISIC Description,-,Industry description corresponding to 4 digit ISIC code
,140,Sustainable Finance,Dimension,CLIENT_NAME,Client Name,-,Client Name
,141,Sustainable Finance,Dimension,Client_Role,Client Role,-,"Role of client in the transaction e.g. obligor, non obligor, give up."
,142,Sustainable Finance,Dimension,CLIENT_SUB_SEGMENT_ID,Client Segment Hierarchy,-,This displays the business segment which manages the client across all levels from L1 to L5.
,143,Sustainable Finance,Dimension,Client_Sub_Segment_Roll_Up,Client Sub Seg Roll Up FI Segment Level 1,-,-
,144,Sustainable Finance,Dimension,CLIENT_SUB_SEG_ROLL_UP_II,Client Sub Seg Roll Up II FI Segment Level 2,-,-
,145,Sustainable Finance,Dimension,CLIENT_TIER,Client Tier,-,-
,146,Sustainable Finance,Dimension,Latest_CRG,Credit Grade,"Credit Rating, Credit Risk Grade",-
,147,Sustainable Finance,Dimension,FAM_Location_Abbr,FAM Location,"Origination location, FOL alias",-
,148,Sustainable Finance,Dimension,FRANCHISE_SEGMENT,Franchise Segment,-,This shows the segment from a Franchise view across all levels from L1 to L3.
,149,Sustainable Finance,Dimension,Franchise_Segment_Sub_Category,Franchise Segment Sub Category,-,This shows the segment from a Franchise view across all levels from L1 to L3.
,150,Sustainable Finance,Dimension,GAM_Location_Abbr,GAM Location,-,-
,151,Sustainable Finance,Dimension,Industry,Industry,-,-
,152,Sustainable Finance,Dimension,LE_Name,LE Name,"Legal Entity Name, Client Name, LE - Name",Client name of company that borrows money from bank
,153,Sustainable Finance,Dimension,LE_ID,LEID,"Legal Entity ID , Client LE ID, LE ID",Client ID of company that borrows money from bank
,154,Sustainable Finance,Dimension,Management_Product_Hierarchy,Management Product Hierarchy,"Product level, Product Hierarchy",This provides drills down across all 7 levels of the Product Management Hierarchy.
