,Count of Variances,0,,,,,PL Threshold,,3000000,,,,,,
,Comments to be updated,0,,,,,,,0.1,,,,,,
,,,,,,,,,,,,,,,
,Sum of USD,,,Period,,,,,,,,,,,
,BS,IFRS Pack Sch Description,IFRS Line Item / General Ref,Nov'25,Oct'25,Variance,%,Conditions,Comments required,Commentaries,,,,,
,,,Other Costs,20688020.302361947,45387961.7588616,-24699941.456499655,-0.5441958726352635,True,Variance exceeds $3M and 10%,The variance can be attributed to Increase in Project OPEX related expenditure by $12.83mn and Decrease in Cross Border Recharges In & Out by $36.1mn.,Cost Controller/LEC,,,,
,,,Other Premises Costs,2873302.4337701607,3485864.994551634,-612562.5607814733,-0.17572756309808366,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Other Staff Costs,10886310.848100943,10831817.132235246,54493.71586569771,0.005030893265685369,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,P/L-New Prov Creat-Op.Loss Int,-21543.400097453385,-577.8360361515287,-20965.564061301855,36.28289471341306,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Premises-Renewals & Maint.,2013307.2589952042,1755279.1564643309,258028.10253087338,0.1470011773230538,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Printing and Publications,-507173.12338112015,143964.32920966594,-651137.4525907862,-4.52290825210241,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Prof-Consultant Costs & Others,2579396.1775190355,1930269.1494135,649127.0281055355,0.33628835041101324,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Recharge from GBS India,2628009.717128717,2306024.6189346835,321985.0981940334,0.139627780011638,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Recharge from GBS M'ysia,2244043.174415921,2366830.454458047,-122787.28004212631,-0.051878359014204053,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Recharge from/(to) GBS-China,2804318.410996845,3461696.3361322978,-657377.9251354528,-0.18990051734865093,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Recharge from/(to) GBS-Poland,74397.61239196779,71701.2947887956,2696.317603172196,0.0376048662874849,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Rent Paid,-225758.61693124403,472909.33145311195,-698667.948384356,-1.4773824534981237,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Retirement Benefits,4011244.8529223134,3996401.3268380295,14843.526084283832,0.0037142230898086744,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Salaries and Allowances,51887569.86638623,52033231.158259116,-145661.2918728888,-0.002799389709815634,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Share Awards,2256754.532864873,1745695.0515992562,511059.4812656166,0.2927541558861771,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Staff Training,50823.967122303984,6163.645920133325,44660.32120217066,7.245763592014484,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Stationery,534506.9627881922,884638.2167809752,-350131.253992783,-0.3957903325348546,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Subscriptions,1809572.530967097,1285631.423626691,523941.1073404059,0.4075360151530823,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Travel,841326.0508296349,881807.8738542402,-40481.823024605284,-0.045907758622823085,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Recharge from GBS PHL,2071.7846793014132,,2071.7846793014132,#DIV/0!,#DIV/0!,Variance does not exceed $3M,Immaterial variance,#N/A,,,,
,,Analysis of Operating Costs Total,,246982813.38958266,210400545.14069635,36582268.24888632,0.1738696457484152,True,,,#N/A,,,,
,,Analysis of Other Operating Income,IFRS 16 Lease modification Gain/Loss,-903.3621419229092,-2820.332029998077,1916.9698880751675,-0.6796965278150157,False,Variance does not exceed $3M,Immaterial variance,Balaji,,,,
,,,Miscellaneous Income,-1042587.3002846667,-9105075.319530793,8062488.019246126,-0.8854938302324341,True,Variance exceeds $3M and 10%,The variance can be attributed to increase in income in the nature of Overseas GDV Rebate by $7.06mn ,Balaji,,,,
,,,Rents Receivable,-878585.8359192675,-904565.762451125,25979.92653185746,-0.02872088200802448,,Variance does not exceed $3M,Immaterial variance,Balaji,,,,
,,Analysis of Other Operating Income Total,,-1922076.498345857,-10012461.414011916,8090384.915666059,-0.8080315699737917,,,,#N/A,,,,
,,Gains & Losses on Disposal of Non Trading Inv Sec,NetG/L-Disp-Non-FVOCIInvstmtSec,-45958401.856743515,22425.967566181655,-45980827.8243097,-2050.3386392856805,True,Variance exceeds $3M and 10%,"Variance is on account of gain on disposal of project Oxford( Personal Loan- WRB) amounting to $ 46Mn.
(Should be a part of 3H, it has already been discussed. Beginning next month, will be included in",Vinay/Harish,,,,
,,Gains & Losses on Disposal of Non Trading Inv Sec Total,,-45958401.856743515,22425.967566181655,-45980827.8243097,-2050.3386392856805,True,,,#N/A,,,,
,,Interest Payable,Depo by Banks & Cust-Non Group,297424638.5594848,321695647.09698164,-24271008.537496865,-0.0754471151739889,False,Variance exceeds $3M but not 10%,Variance is mainly driven by decrease in interest expense on transaction banking CASA products,Parameswaran,,,,
,,,IntPayable-SubordLoanCap-Grp,13521969.749698663,13719718.387282865,-197748.637584202,-0.014413461851192218,False,Variance does not exceed $3M,Immaterial variance,Balaji,,,,
,,,NTP Interco - Depo by Banks & Cust-Group,13489175.416100327,-8236010.928786616,21725186.344886944,-2.6378287416973647,,Variance exceeds $3M and 10%,Interco and hence excluded,Balaji,,,,
,,,Other Int Payable-Non Group,489844.55927987065,649422.894686239,-159578.3354063683,-0.2457232978881453,False,Variance does not exceed $3M,Immaterial variance,Vinay/Harish,,,,
,,,Other Interest Payable-Group,2283298.5548688,-564206.3188256659,2847504.873694466,-5.046921274510427,,Variance does not exceed $3M,Immaterial variance,Balaji,,,,
,,Interest Payable Total,,327208926.8394324,327264571.1313384,-55644.291905999184,-0.0001700284626399963,False,,,#N/A,,,,
,,Interest Receivable & Similar Income,Amortn-DebtSec&OthFixedIncSec,-3541383.5175544326,-2637094.6567527708,-904288.8608016619,0.34291103600929235,False,Variance does not exceed $3M,Immaterial variance,Vinay/Harish,,,,
,,,Amortn-Treasury&OthEligbBills,-13333260.551893929,-9813921.219152618,-3519339.332741311,0.3586068457400138,,Variance exceeds $3M and 10%,Variance($3.5Mn) is driven by an increase in the average holding value of Treasury Bills.,Investments team - from mail,,,,
,,,EIR Amortisation-Non Group,-1092807.00638576,-2140123.7382219075,1047316.7318361476,-0.4893720457053088,False,Variance does not exceed $3M,Immaterial variance,Vinay/Harish,,,,
,,,Int Inc-DebtSec&OthFixedIncSec,-71307881.4659041,-73013750.50189091,1705869.035986811,-0.023363668134574626,False,Variance does not exceed $3M,Immaterial variance,Vinay/Harish,,,,
,,,"Int Rcv-Lns,Adv&Oth-Non Group",-282056900.20260024,-292147646.4367669,10090746.234166682,-0.03453988542177335,False,Variance exceeds $3M but not 10%,"Interest Income from Customer Category :
Major contributors to the variance:
1. Decrease in interest on personal loans product due to transfer of PL portfolio to Mox Bank as part of Project Oxford - U",Yellore Rammurthy,,,,
,,,"Int Rcv-Lns,Adv&Oth-SCB",-30747.280281076088,-44536.68739183386,13789.407110757773,-0.30961905607030316,False,Variance does not exceed $3M,Immaterial variance,Yellore Rammurthy,,,,
,,,Interest receivable on impaired loans,-1464607.2961813658,-1250846.518812897,-213760.77736846893,0.1708928906572298,False,Variance does not exceed $3M,Immaterial variance,Yellore Rammurthy,,,,
,,,"NTP - Int Rcv-Lns,Adv&Oth-SCB",-106114298.74592873,-88703492.33382477,-17410806.412103966,0.19628095753637884,True,Variance exceeds $3M and 10%,Interco Reletad and hence exluded,Harish,,,,
